State,Constituency,Candidate,Party,Votes
MP,BALAGHAT ,ADVOCATE SATYAPRAKASH SHULKE,Madhya Pradesh Jan Vikas Party,377
,,,,
MP,BALAGHAT ,KIRAN MADAVI,Independent,329
,,,,
MP,BALAGHAT ,JITENDRA GOYAL (JITU),Bahujan Mukti Party,173
,,,,
MP,BALAGHAT ,SHANKAR  KANSARE,Peoples Party of India (Democratic),171
,,,,
MP,BALAGHAT ,HARICHAND MAHURE,Independent,142
,,,,
MP,BALAGHAT ,SHABANA SAMIM ANSARI,Samata Samadhan Party,133
,,,,
MP,BALAGHAT ,None of the Above,None of the Above,861
,,,,
MP,BAMORI ,MAHENDRA SINGH SISODIYA (SANJU BHAIYA),Indian National Congress,64598
,,,,
MP,BAMORI ,"BRIJMOHAN SINGH ""AZAD""",Bharatiya Janata Party,36678
,,,,
MP,BAMORI ,KANHAIYALAL RAMESHWAR AGRAWAL,Independent,28488
,,,,
MP,BAMORI ,DR OMPRAKASH TRIPATHI,Bahujan Samaj Party,7176
,,,,
MP,BAMORI ,RAMSWAROOP BHIL,Independent,4281
,,,,
MP,BAMORI ,SHRIMATI SUMAN DEVI YOGENDRA SHARMA,Communist Party of India,3383
,,,,
MP,BAMORI ,DEVENDRA KUMAR UPADHYAY (MAHIDPUR WALE),Independent,3111
,,,,
MP,BAMORI ,GUDDI BAI LODHA,Independent,1644
,,,,
MP,BAMORI ,SEVAK RAM KUSHWAH,Pichhara Samaj Party United,1022
,,,,
MP,BAMORI ,BACHCHHRAJ SINGH YADAV (GRAM DUMAWAN),Samajwadi Party,777
,,,,
MP,BAMORI ,GIRRAJ DHAKAD,Aam Aadmi Party,652
,,,,
MP,BAMORI ,PT. LAKHAN SHASTRI,Sapaks Party,562
,,,,
MP,BAMORI ,RAMCHARAN DHAKAD,Rashtriya Jankranti Party,489
,,,,
MP,BAMORI ,BABULAL SEN (HARIPUR),Akhil Bhartiya Gondwana Party,407
,,,,
MP,BAMORI ,SHYAM-SUNDAR,Independent,398
,,,,
MP,BAMORI ,BALAKRAM SAHERIYA,Bhartiya Panchyat Party,369
,,,,
MP,BAMORI ,TORANSINGH GAUR (KHERUA),Kranti Janshakti Party,328
,,,,
MP,BAMORI ,None of the Above,None of the Above,1132
,,,,
MP,BANDA ,TARBAR SINGH (BANTU BHAIYA),Indian National Congress,84456
,,,,
MP,BANDA ,HARVANSH SINGH RATHORE (SUKKU BHAIYA),Bharatiya Janata Party,60292
,,,,
MP,BANDA ,AHEER RAMAKANT YADAV,Bahujan Samaj Party,7890
,,,,
MP,BANDA ,PUSHPEND SINGH,Bhartiya Shakti Chetna Party,2789
,,,,
MP,BANDA ,RAMDAS AHIRWAR,Independent,1159
,,,,
MP,BANDA ,SUREDRA AHIRWAR,Independent,654
,,,,
MP,BANDA ,RAJESH ATHIYA,Independent,606
,,,,
MP,BANDA ,IMRAN KHAN,Independent,537
,,,,
MP,BANDA ,RAMESH AHIRWAR,Independent,384
,,,,
MP,BANDA ,BHAGWAN DAS YADAV,Aam Aadmi Party,339
,,,,
MP,BANDA ,TARVAR (BHAIYA),Independent,279
,,,,
MP,BANDA ,MOJI AHIRWAR,Independent,252
,,,,
MP,BANDA ,CHAND KHA (CHANDU),Independent,242
,,,,
MP,BANDA ,GHURAN CHOUDHARI,Independent,225
,,,,
MP,BANDA ,JAVID KHAN,Independent,201
,,,,
MP,BANDA ,None of the Above,None of the Above,2273
,,,,
MP,BANDHAVGARH,SHIVNARAYAN SINGH (LALLU BHAIYA),Bharatiya Janata Party,59158
,,,,
MP,BANDHAVGARH,DHYAN SINGH,Indian National Congress,55255
,,,,
MP,BANDHAVGARH,SATILAL BEGA,Independent,18663
,,,,
MP,BANDHAVGARH,RAM MILAN BAIGA,Gondvana Gantantra Party,9854
,,,,
MP,BANDHAVGARH,SHIVPRASAD KOL,Bahujan Samaj Party,6936
,,,,
