,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
189,196,SARDARPUR,SANJAY SINGH BAGHEL,Bharatiya Janata Party,36205,529,WELSINGH BHURIYA,Bharatiya Janata Party,Madhya Pradesh,PRATAP GREWAL,Indian National Congress
190,63,SATNA,SHANKARLAL TIWARI,Bharatiya Janata Party,12558,15332,SHANKARLAL TIWARI,Bharatiya Janata Party,Madhya Pradesh,DABBU SIDDHARTH SUKHLAL  KUSHWAHA,Indian National Congress
191,125,SAUSAR,NANABHAU MOHOD,Bharatiya Janata Party,20472,8416,NANABHAU MOHOD,Bharatiya Janata Party,Madhya Pradesh,VIJAY REVNATH CHORE,Indian National Congress
192,159,SEHORE ,SURENDRA SINGH THAKUR,Indian National Congress,20644,1626,SUDESH RAI,Independent,Madhya Pradesh,SUDESH RAI,Bharatiya Janata Party
193,69,SEMARIYA,TRIYUGI NARAYAN SHUKLA (BHAGAT),Indian National Congress,7776,5977,NEELAM ABHEY MISHRA,Bharatiya Janata Party,Madhya Pradesh,K.P. TRIPATHI,Bharatiya Janata Party
194,187,SENDHWA (S.T.),ANTARSINGH ARYA,Bharatiya Janata Party,15878,25686,ANTARSINGH RAOJI ARYA,Bharatiya Janata Party,Madhya Pradesh,GYARSILAL RAWAT,Indian National Congress
195,115,SEONI,MOHAN SINGH CHANDEL,Indian National Congress,22008,20916,DINESH RAI ( MUNMUN),Independent,Madhya Pradesh,DINESH RAI MUNMUN,Bharatiya Janata Party
196,136,SEONI MALWA,OMPRAKASH HAZARILAL RAGHUWANSHI,Indian National Congress,11604,12547,SARTAJ SINGH,Bharatiya Janata Party,Madhya Pradesh,PREMSHANKER KUNJILAL VERMA (BAGHWADA),Bharatiya Janata Party
197,20,SEWDA,RADHELAL BAGHEL,Bharatiya Janata Party,33268,8809,PRADEEP AGARWAL,Bharatiya Janata Party,Madhya Pradesh,GHANSHYAM SINGH,Indian National Congress
198,103,SHAHPURA ,OMPRAKASH DHURWEY,Bharatiya Janata Party,33960,32681,OMPRAKASH DHURWEY,Bharatiya Janata Party,Madhya Pradesh,BHOOPENDRA MARAVI (BABLU),Indian National Congress
199,167,SHAJAPUR ,ARUN BHIMAWAD,Bharatiya Janata Party,44979,1938,ARUN BHIMAWAD,Bharatiya Janata Party,Madhya Pradesh,KARADA HUKUMSINGH,Indian National Congress
200,148,SHAMSHABAD,JYOTSNA YADAV,Indian National Congress,7340,3158,SURYA PRAKASH MEENA,Bharatiya Janata Party,Madhya Pradesh,RAJSHRI - RUDRA PRATAP SINGH.,Bharatiya Janata Party
201,1,SHEOPUR ,DURGA LAL VIJAY (VAKIL),Bharatiya Janata Party,41710,16427,DURGALAL VIJAY,Bharatiya Janata Party,Madhya Pradesh,BABU JANDEL,Indian National Congress
202,25,SHIVPURI,SIDDHARTH LADHA,Indian National Congress,28748,11145,YASHODHARA RAJE SCINDHIYA,Bharatiya Janata Party,Madhya Pradesh,YASHODHARA RAJE SCINDIA,Bharatiya Janata Party
203,168,SHUJALPUR,RAMVEER SINGH SIKARWAR,Indian National Congress,5623,8656,JASWANTSINGH HADA,Bharatiya Janata Party,Madhya Pradesh,INDER SINGH PARMAR,Bharatiya Janata Party
204,77,SIDHI,KAMLESHWAR PRASAD DWIVEDI,Indian National Congress,19986,2360,KEDAR NATH SHUKLA,Bharatiya Janata Party,Madhya Pradesh,KEDAR NATH SHUKL,Bharatiya Janata Party
205,78,SIHAWAL,SHIVA BAHADUR SINGH CHANDEL,Bharatiya Janata Party,31506,32556,KAMLESHWAR INDRAJEETKUMAR,Indian National Congress,Madhya Pradesh,KAMLESHWAR INDRAJEET KUMARE,Indian National Congress
206,102,SIHORA,KHILADI SINGH AARMO,Indian National Congress,6823,15004,NANDHANI MARAVI,Bharatiya Janata Party,Madhya Pradesh,SMT. NANDNI MARAVI,Bharatiya Janata Party
207,143,SILWANI,DEVENDRA PATEL,Indian National Congress,7072,17078,RAMPAL SINGH,Bharatiya Janata Party,Madhya Pradesh,RAMPAL SINGH,Bharatiya Janata Party
208,80,SINGAROULI ,RENU SHAH,Indian National Congress,3726,10560,RAM LALLU VAISHYA,Bharatiya Janata Party,Madhya Pradesh,RAMLALLU VAISHYA,Bharatiya Janata Party
209,68,SIRMOUR,DR. ARUNA VIVEK TIWARI,Indian National Congress,13401,5288,DIVYARAJ SINGH,Bharatiya Janata Party,Madhya Pradesh,DIVYARAJ SINGH,Bharatiya Janata Party
210,147,SIRONJ,MASARRAT SHAHID,Indian National Congress,34734,1584,GOVARDHAN LAL,Indian National Congress,Madhya Pradesh,UMAKANT SHARMA,Bharatiya Janata Party
211,138,SOHAGPUR,SATPAL PALIYA,Indian National Congress,11417,28891,VIJAYPAL SINGH,Bharatiya Janata Party,Madhya Pradesh,VIJAYPAL SINGH,Bharatiya Janata Party
212,170,SONKATCH ,RAJENDRA PHULCHAND VERMA,Bharatiya Janata Party,9818,1880,RAJENDRA PHULCHAND VERMA,Bharatiya Janata Party,Madhya Pradesh,SAJJAN SINGH VERMA,Indian National Congress
213,5,SUMAOLI,AJAB SINGH KUSHWAH,Bharatiya Janata Party,13313,14076,NEETU SATYAPAL SINGH ,Bharatiya Janata Party,Madhya Pradesh,ADAL SINGH KANSANA,Indian National Congress
214,37,SURKHI,SUDHEER YADAV,Bharatiya Janata Party,21418,141,PARUL SAHU KESARI,Bharatiya Janata Party,Madhya Pradesh,GOVIND SINGH RAJPUT,Indian National Congress
215,165,SUSNER,MAHENDRA BHAIRU SINGH BAPU,Indian National Congress,27062,27676,MURLIDHAR PATIDAR,Bharatiya Janata Party,Madhya Pradesh,VIKARAM SINGH RANA GUDDU BHAI,Independent
216,226,SUWASRA,RADHESHYAM NANALAL PATIDAR,Bharatiya Janata Party,350,7125,HARDEEP SINGH DUNG,Indian National Congress,Madhya Pradesh,DANG HARDEEPSINGH,Indian National Congress
217,214,TARANA ,ANIL FIROJIYA,Bharatiya Janata Party,2209,16135,ANIL FIROJIYA,Bharatiya Janata Party,Madhya Pradesh,MAHESH PARMAR,Indian National Congress
218,120,TENDUKHEDA ,"VISHWANATH SINGH ""MULAM BHAIYA""",Bharatiya Janata Party,8643,44602,SANJAY SHARMA,Bharatiya Janata Party,Madhya Pradesh,"SANJAY SHARMA ""SANJU BHAIYA""",Indian National Congress
219,70,TEONTHAR,RAMASHANKAR SINGH,Indian National Congress,5343,9757,PD. RAMAKANT TIWARI,Bharatiya Janata Party,Madhya Pradesh,SHYAM LAL DWIVEDI,Bharatiya Janata Party
220,194,THANDLA,KALSINGH BHABAR,Bharatiya Janata Party,31151,5116,KALSINGH BHABAR,Independent,Madhya Pradesh,BHURIYA VEERSINGH,Indian National Congress
221,43,TIKAMGARH,"YADVENDRA SINGH ""JAGGU BHAIYA""",Indian National Congress,4175,16889,K K SHRIVASTAVA,Bharatiya Janata Party,Madhya Pradesh,RAKESH GIRI,Bharatiya Janata Party
222,134,TIMARNI,ABHIJEET SHAH (MAKDAI),Indian National Congress,2213,16507,SANJAY SHAH MAKDAI,Bharatiya Janata Party,Madhya Pradesh,"SANJAY SHAH ""MAKRAI""",Bharatiya Janata Party
223,140,UDAIPURA,RAMKISHAN PATEL,Bharatiya Janata Party,8001,44053,RAMKISHAN PATEL,Bharatiya Janata Party,Madhya Pradesh,DEVENDRA SINGH PATEL,Indian National Congress
224,216,UJJAIN NORTH,MHANAT RAJENDRA BHARTI,Indian National Congress,25724,24849,PARASCHANDRA  JAIN,Bharatiya Janata Party,Madhya Pradesh,PARAS JAIN,Bharatiya Janata Party
225,217,UJJAIN SOUTH,RAJENDRA VASHISHTHA (RAJU BHAIYA),Indian National Congress,18960,9652,DR MOHAN YADAV,Bharatiya Janata Party,Madhya Pradesh,DR. MOHAN YADAV,Bharatiya Janata Party
226,144,VIDISHA ,MUKESH TANDON,Bharatiya Janata Party,15454,16966,SHIVRAJ SINGH CHAUHAN,Bharatiya Janata Party,Madhya Pradesh,SHASHANK SHRIKRISHAN BHARGAVA,Indian National Congress
227,2,VIJAYPUR ,RAMNIWAS RAWAT,Indian National Congress,2840,2149,RAMNIWAS RAWAT,Indian National Congress,Madhya Pradesh,SEETARAM,Bharatiya Janata Party
228,92,VIJAYRAGHAVGARH,PADMA SHUKLA,Indian National Congress,13738,929,SANJAY PATHAK,Indian National Congress,Madhya Pradesh,SANJAY SATYENDRA PATHAK,Bharatiya Janata Party
229,112,WARASEONI,DR YOGENDRA NIRMAL,Bharatiya Janata Party,3862,17938,DR. YOGENDRA NIRMAL,Bharatiya Janata Party,Madhya Pradesh,PRADEEP AMRATLAL JAISWAL (GUDDA),Independent
