,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
23,57,Bassi ,KANHAIYALAL,Bharatiya Janata Party,42764,11339,ANJU DEVI DHANKA,Independent,Rajasthan,LAXMAN MEENA,Independent
24,76,Bayana,DR. RITU BANAWAT,Bharatiya Janata Party,6695,5811,BACHCHU SINGH,Bharatiya Janata Party,Rajasthan,AMAR SINGH,Indian National Congress
25,136,Baytu,UMMEDA RAM,Rashtriya Loktantrik Party,13803,13974,KAILASH CHOUDHARY,Bharatiya Janata Party,Rajasthan,HARISH CHOUDHARY,Indian National Congress
26,103,Beawar,PARASMAL JAIN,Indian National Congress,4502,42909,SHANKAR SINGH,Bharatiya Janata Party,Rajasthan,SHANKAR SINGH RAWAT,Bharatiya Janata Party
27,168,Begun,DR. SURESH DHAKER,Bharatiya Janata Party,1661,21298,SURESH DHAKER,Bharatiya Janata Party,Rajasthan,BIDHURI RAJENDRA SINGH,Indian National Congress
28,62,Behror,RAMCHANDRA YADAV,Indian National Congress,3836,18585,DR. JASWANT SINGH YADAV,Bharatiya Janata Party,Rajasthan,BALJEET YADAV,Independent
29,11,Bhadra,SANJEEV KUMAR,Bharatiya Janata Party,23153,26488,SANJEEV KUMAR,Bharatiya Janata Party,Rajasthan,BALWAN POONIA,Communist Party of India  (Marxist)
30,73,Bharatpur,VIJAY BANSAL(PAPPU BANDA),Bharatiya Janata Party,15710,22694,VIJAY BANSAL (PAPPU BANDA),Bharatiya Janata Party,Rajasthan,DR. SUBHASH GARG,Rashtriya Lok Dal
31,180,Bhilwara,OM PRAKASH NARANIWAL,Independent,49578,46116,VITTHAL SHANKAR AVASTHI,Bharatiya Janata Party,Rajasthan,VITTHAL SHANKAR AWASTHI,Bharatiya Janata Party
32,173,Bhim ,HARI SINGH CHOUHAN (RAWAT),Bharatiya Janata Party,3714,18451,HARI SINGH RAWAT (PANNA SINGH),Bharatiya Janata Party,Rajasthan,SUDARSHAN SINGH RAWAT,Indian National Congress
33,143,Bhinmal,SAMARJIT SINGH,Indian National Congress,9646,40191,POORA RAM CHOUDHARY,Bharatiya Janata Party,Rajasthan,POORARAM CHOUDHARY,Bharatiya Janata Party
34,126,Bhopalgarh ,BHANWARLAL BALAI,Indian National Congress,4962,35810,KAMASA,Bharatiya Janata Party,Rajasthan,PUKHRAJ,Rashtriya Loktantrik Party
35,14,Bikaner East,KANHAIYA LAL JHANWAR,Indian National Congress,7061,31677,SIDDHI KUMARI,Bharatiya Janata Party,Rajasthan,SIDDHI KUMARI,Bharatiya Janata Party
36,13,Bikaner West,GOPAL KRISHN,Bharatiya Janata Party,6190,6424,GOPAL KRISHNA,Bharatiya Janata Party,Rajasthan,BULAKI DAS KALLA,Indian National Congress
37,131,Bilara ,ARJUN LAL,Bharatiya Janata Party,9618,35941,ARJUNLAL,Bharatiya Janata Party,Rajasthan,HEERARAM,Indian National Congress
38,186,Bundi,HARIMOHAN SHARMA,Indian National Congress,713,27636,ASHOK DOGRA,Bharatiya Janata Party,Rajasthan,ASHOK DOGRA,Bharatiya Janata Party
39,58,Chaksu   ,RAMAVATAR BAIRWA,Bharatiya Janata Party,3431,12358,LAXMINARAIN BAIRWA,Bharatiya Janata Party,Rajasthan,VED PRAKASH SOLANKI,Indian National Congress
40,196,Chhabra,KARAN SINGH,Indian National Congress,3744,61385,PRATAP SINGH,Bharatiya Janata Party,Rajasthan,PRATAP SINGH,Bharatiya Janata Party
41,169,Chittorgarh,SURENDRA SINGH JADAWAT,Indian National Congress,23894,11850,CHANDRABHAN SINGH (AKYA),Bharatiya Janata Party,Rajasthan,CHANDRABHAN SINGH AAKYA,Bharatiya Janata Party
42,140,Chohtan ,ADU RAM MEGHWAL,Bharatiya Janata Party,4262,23526,TARUN RAI KAGA,Bharatiya Janata Party,Rajasthan,PADMARAM,Indian National Congress
43,43,Chomu,BHAGWAN SAHAI SAINI,Indian National Congress,1288,44473,RAMLAL SHARMA,Bharatiya Janata Party,Rajasthan,RAMLAL SHARMA,Bharatiya Janata Party
44,161,Chorasi ,SUSHIL KATARA,Bharatiya Janata Party,12934,20313,SUSHIL KATARA,Bharatiya Janata Party,Rajasthan,RAJKUMAR ROAT,Bhartiya Tribal Party
45,22,Churu,RAFIQUE MANDELIA,Indian National Congress,1850,24002,RAJENDRA RATHORE,Bharatiya Janata Party,Rajasthan,RAJENDRA RATHORE,Bharatiya Janata Party
46,51,Civil lines,ARUN CHATURVEDI,Bharatiya Janata Party,18078,11129,ARUN CHATURVEDI,Bharatiya Janata Party,Rajasthan,PRATAP SINGH KHACHARIYAWAS,Indian National Congress
47,197,Dag ,MADAN LAL,Indian National Congress,19513,50397,RAMCHANDRA,Bharatiya Janata Party,Rajasthan,KALURAM,Bharatiya Janata Party
48,36,DANTARAMGARH,HARISH CHAND KUMAWAT,Bharatiya Janata Party,920,575,NARAYAN SINGH,Indian National Congress,Rajasthan,VIRENDRA SINGH,Indian National Congress
49,88,Dausa ,SHANKAR LAL SHARMA,Bharatiya Janata Party,50948,25172,SHANKAR LAL SHARMA,Bharatiya Janata Party,Rajasthan,MURARI LAL,Indian National Congress
50,107,Deedwana,JITENDRA SINGH,Bharatiya Janata Party,40602,11444,YOONUS KHAN,Bharatiya Janata Party,Rajasthan,CHETAN SINGH CHOUDHARY,Indian National Congress
51,72,Deeg-kumher,DR. SHAILESH SINGH,Bharatiya Janata Party,8218,11162,VISHVENDRA SINGH,Indian National Congress,Rajasthan,VISHVENDRA SINGH,Indian National Congress
52,112,Degana,AJAY SINGH KILAK,Bharatiya Janata Party,21538,14482,AJAY SINGH,Bharatiya Janata Party,Rajasthan,VIJAYPAL MIRDHA,Indian National Congress
53,97,Deoli - uniara,RAJENDRA GURJAR,Bharatiya Janata Party,21476,29635,RAJENDRA GUJAR,Bharatiya Janata Party,Rajasthan,HARISH CHANDRA MEENA,Indian National Congress
54,157,Dhariyawad  ,NAGRAJ,Indian National Congress,23842,7174,GOTAM LAL,Bharatiya Janata Party,Rajasthan,GOTAM LAL,Bharatiya Janata Party
55,34,DHOD,PEMA RAM,Communist Party of India  (Marxist),14053,45071,GORDHAN,Bharatiya Janata Party,Rajasthan,PARASRAM MORDIA,Indian National Congress
56,79,Dholpur,DR. SHIV CHARAN SINGH KUSHAWAH,Indian National Congress,19360,9209,B. L . KUSHWAH,Bahujan Samaj Party,Rajasthan,SHOBHARANI KUSHWAH,Bharatiya Janata Party
57,45,Dudu ,DR. PREM CHAND BAIRWA,Bharatiya Janata Party,14779,33720,DR.PREMCHAND BAIRWA,Bharatiya Janata Party,Rajasthan,BABULAL NAGAR,Independent
58,158,Dungarpur ,MADHAVLAL VARAHAT,Bharatiya Janata Party,27898,3845,DEVENDRA KATARA,Bharatiya Janata Party,Rajasthan,GANESH GHOGRA,Indian National Congress
59,32,Fatehpur,SUNITA KUMARI,Bharatiya Janata Party,860,3926,NAND KISHORE  MAHARIA,Independent,Rajasthan,HAKAM ALI KHAN,Indian National Congress
60,2,Ganganagar,ASHOK CHANDAK,Indian National Congress,9180,37068,KAMINI JINDAL,National Unionist Zamindara Party,Rajasthan,RAJ KUMAR GAUR,Independent
61,90,Gangapur,MANSINGH GURJAR,Bharatiya Janata Party,10066,28375,MAN SINGH,Bharatiya Janata Party,Rajasthan,RAMKESH,Independent
62,163,Garhi ,KANTA BHIL,Indian National Congress,24401,24450,JEETMAL KHANT,Bharatiya Janata Party,Rajasthan,KAILASH CHANDRA MEENA,Bharatiya Janata Party
63,162,Ghatol ,NANALAL NINAMA,Indian National Congress,4449,27198,NAVANIT LAL,Bharatiya Janata Party,Rajasthan,HARENDRA NINAMA,Bharatiya Janata Party
64,149,Gogunda ,DR. MANGI LAL GARASIYA,Indian National Congress,4411,3345,PRATAP LAL BHEEL,Bharatiya Janata Party,Rajasthan,PRATAP LAL BHEEL (GAMETI),Bharatiya Janata Party
65,139,Gudhamalani,LADU RAM,Bharatiya Janata Party,13564,33155,LADU RAM,Bharatiya Janata Party,Rajasthan,HEMARAM CHOUDHARY,Indian National Congress
66,8,Hanumangarh,RAMPRATAP,Bharatiya Janata Party,15522,30487,RAMPRATAP,Bharatiya Janata Party,Rajasthan,VINOD KUMAR,Indian National Congress
67,49,Hawa mahal,SURENDRA PAREEK,Bharatiya Janata Party,9282,12715,SURENDRA PAREEK,Bharatiya Janata Party,Rajasthan,DR. MAHESH JOSHI,Indian National Congress
68,82,Hindaun ,MANJU KHAIRWAL,Bharatiya Janata Party,26780,8111,RAJKUMARI,Bharatiya Janata Party,Rajasthan,BHAROSI LAL,Indian National Congress
69,184,Hindoli,OMENDRA SINGH HADA,Bharatiya Janata Party,30541,18453,ASHOK,Indian National Congress,Rajasthan,ASHOK,Indian National Congress
70,182,Jahazpur,DHEERAJ GURJAR,Indian National Congress,13253,4262,DHIRAJ GURJAR,Indian National Congress,Rajasthan,GOPI CHAND MEENA,Bharatiya Janata Party
71,132,Jaisalmer,SANGSINGH BHATI,Bharatiya Janata Party,29778,2867,CHHOTU SINGH,Bharatiya Janata Party,Rajasthan,ROOPARAM,Indian National Congress
72,116,Jaitaran,DILIP CHOUDHARY,Indian National Congress,12188,34874,SURENDRA GOYAL,Bharatiya Janata Party,Rajasthan,AVINASH,Bharatiya Janata Party
73,142,Jalore ,MANJU MEGHWAL,Indian National Congress,35234,46800,AMRITA MEGHWAL,Bharatiya Janata Party,Rajasthan,JOGESHWAR GARG,Bharatiya Janata Party
74,48,Jamwa ramgarh ,MAHENDRA PAL MEENA,Bharatiya Janata Party,21684,31901,JAGDISH NARAYAN ,Bharatiya Janata Party,Rajasthan,GOPAL LAL MEENA,Indian National Congress
75,108,Jayal ,ANIL,Rashtriya Loktantrik Party,18604,13109,DR. MANJU BAGHMAR,Bharatiya Janata Party,Rajasthan,MANJU DEVI,Indian National Congress
76,150,Jhadol  ,SUNIL KUMAR BHAJAT,Indian National Congress,12947,4684,HEERALAL DARANGI,Indian National Congress,Rajasthan,BABU LAL,Bharatiya Janata Party
77,198,Jhalrapatan,MANVENDRA SINGH,Indian National Congress,34980,60896,VASUNDHRA RAJE,Bharatiya Janata Party,Rajasthan,VASUNDHARA RAJE,Bharatiya Janata Party
78,46,Jhotwara,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,10747,19602,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,Rajasthan,LALCHAND KATARIA,Indian National Congress
