,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
12,80,Bhanupratappur,DEO LAL DUGGA,Bharatiya Janata Party,26693,14896,MANOJ SINGH MANDAVI,Indian National Congress,Chattisgarh,MANOJ SINGH MANDAVI,Indian National Congress
13,1,Bharatpur-sonhat,CHAMPADEVI PAWLE,Bharatiya Janata Party,16533,4608,CHAMPA DEVI PAWLE,Bharatiya Janata Party,Chattisgarh,GULAB KAMRO,Indian National Congress
14,46,Bhatapara,SUNIL MAHESHWARI,Indian National Congress,11909,12340,SHIVRATAN SHARMA,Bharatiya Janata Party,Chattisgarh,SHIVRATAN SHARMA,Bharatiya Janata Party
15,5,Bhatgaon,RAJNI RAVISHANKAR TRIPATHI,Bharatiya Janata Party,15734,7368,PARAS NATH RAJWADE,Indian National Congress,Chattisgarh,PARAS NATH RAJWADE,Indian National Congress
16,65,Bhilai Nagar,PREM PRAKASH PANDEY,Bharatiya Janata Party,2849,17106,PREM PRAKASH PANDEY,Bharatiya Janata Party,Chattisgarh,DEVENDRA  YADAV,Indian National Congress
17,89,Bijapur,MAHESH GAGDA,Bharatiya Janata Party,21584,9487,MAHESH GAGDA,Bharatiya Janata Party,Chattisgarh,VIKRAM MANDAVI,Indian National Congress
18,43,Bilaigarh,SHYAM KUMAR TANDAN,Bahujan Samaj Party,9847,12695,DR. SANAM JANGRE,Bharatiya Janata Party,Chattisgarh,CHANDRADEV PRASAD RAI,Indian National Congress
19,30,Bilaspur,AMAR AGRAWAL,Bharatiya Janata Party,11221,15599,AMAR  AGRAWAL,Bharatiya Janata Party,Chattisgarh,SHAILESH PANDEY,Indian National Congress
20,29,Bilha,RAJENDRA SHUKLA,Indian National Congress,26524,10968,SIYARAM KAUSHIK,Indian National Congress,Chattisgarh,DHARAM LAL KAUSHIK,Bharatiya Janata Party
21,55,Bindranawagarh,SANJAY NETAM,Indian National Congress,10430,30536,GOVARDHAN SINGH MANJHI,Bharatiya Janata Party,Chattisgarh,DAMARUDHAR PUJARI,Bharatiya Janata Party
22,36,Chandrapur,GITANJALI PATEL,Bahujan Samaj Party,4418,6217,YUDHVIR SINGH JUDEV,Bharatiya Janata Party,Chattisgarh,RAM KUMAR YADAV,Indian National Congress
23,87,Chitrakot,LACHHURAM KASHYAP,Bharatiya Janata Party,17770,12329,DEEPAK KUMAR BAIJ,Indian National Congress,Chattisgarh,DEEPAK  BAIJ,Indian National Congress
24,88,Dantewara,DEVATI KARMA,Indian National Congress,2172,5987,DEVATI KARMA,Indian National Congress,Chattisgarh,BHIMA MANDAVI,Bharatiya Janata Party
25,58,Dhamtari,GURUMUKH SINGH HORA,Indian National Congress,464,10500,GURUMUKH SINGH HORA,Indian National Congress,Chattisgarh,RANJANA DIPENDRA  SAHU,Bharatiya Janata Party
26,19,Dharamjaigarh,LEENAV BIRJU RATHIA,Bharatiya Janata Party,40335,19988,LALJEET SINGH RATHIA,Indian National Congress,Chattisgarh,LALJEET SINGH RATHIA,Indian National Congress
27,47,Dharsiwa,DEVJI BHAI PATEL,Bharatiya Janata Party,19400,2390,DEVJI BHAI PATEL,Bharatiya Janata Party,Chattisgarh,ANITA YOGENDRA SHARMA,Indian National Congress
28,60,Dondi lohara,LAL MAHENDRA SINGH TEKAM,Bharatiya Janata Party,33103,19735,ANILA BHENDIA,Indian National Congress,Chattisgarh,ANILA BHENDIA,Indian National Congress
29,76,Dongargaon,MADHUSUDAN YADAV,Bharatiya Janata Party,19083,1698,DALESHWAR  SAHU,Indian National Congress,Chattisgarh,DALESHWAR SAHU,Indian National Congress
30,74,Dongargarh,SAROJANI BANJARE,Bharatiya Janata Party,35418,4684,SAROJANI BANJARE,Bharatiya Janata Party,Chattisgarh,BHUNESHWAR SHOBHARAM BAGHEL,Indian National Congress
31,64,Durg City,CHANDRIKA CHANDRAKAR,Bharatiya Janata Party,21081,5621,ARUN VORA,Indian National Congress,Chattisgarh,ARUN VORA,Indian National Congress
32,63,Durg Gramin,JAGESHWAR SAHU,Bharatiya Janata Party,27112,2979,SMT. RAMSHILA SAHU,Bharatiya Janata Party,Chattisgarh,TAMRADHWAJ SAHU,Indian National Congress
33,61,Gunderdehi,DEEPAK TARACHAND SAHU,Bharatiya Janata Party,55394,21280,RAJENDRA KUMAR RAI,Indian National Congress,Chattisgarh,KUNWER SINGH NISHAD,Indian National Congress
34,86,Jagdalpur,SANTOSH BAFNA,Bharatiya Janata Party,27440,16658,SANTOSH BAFNA,Bharatiya Janata Party,Chattisgarh,REKHCHAND JAIN,Indian National Congress
35,37,Jaijaipur,KAILASH SAHU,Bharatiya Janata Party,21687,2579,KESHAV CHANDRA,Bahujan Samaj Party,Chattisgarh,KESHAV PRASAD CHANDRA,Bahujan Samaj Party
36,34,Janjgir-champa,MOTILAL DEWANGAN,Indian National Congress,4188,10211,MOTI LAL DEVANGAN,Indian National Congress,Chattisgarh,NARAYAN CHANDEL,Bharatiya Janata Party
37,12,Jashpur,GOVIND RAM BHAGAT,Bharatiya Janata Party,8026,34349,RAJSHARAN BHAGAT,Bharatiya Janata Party,Chattisgarh,VINAY KUMAR BHAGAT,Indian National Congress
