MADANLAL,Bharatpur-sonhat,Bhartiya Panchyat Party,837

POOJA SINGH POYA,Bharatpur-sonhat,Pichhara Samaj Party United,626

None of the Above,Bharatpur-sonhat,None of the Above,3360

SHIVRATAN SHARMA,Bhatapara,Bharatiya Janata Party,63399

SUNIL MAHESHWARI,Bhatapara,Indian National Congress,51490

CHAITRAM SAHU,Bhatapara,Janta Congress Chhattisgarh (J),45907

MURARI MISHRA,Bhatapara,Nationalist Congress Party,2269

MOHAN GAYAKWAD,Bhatapara,Independent,1963

NARAYAN SAHU,Bhatapara,Independent,1701

AMAR DAS MATRE,Bhatapara,Independent,1463

RESHAMLAL JOGI,Bhatapara,Independent,1153

KATYANI VERMA,Bhatapara,Aam Aadmi Party,1140

RADHECHARAN DHRUW,Bhatapara,Gondvana Gantantra Party,928

BHEEKHAM YADU,Bhatapara,Shiv Sena,837

SANTOSH KUMAR KOSHLE,Bhatapara,Independent,714

GOPAL NUT,Bhatapara,Asankhya Samaj Party,701

PRAVIN KUMAR SAHU,Bhatapara,Chhattisgarh Swabhiman Manch,654

TORANDAS KOSLE,Bhatapara,Independent,614

GIRJALAL TONDE,Bhatapara,Independent,468

SATYANARAYAN SONWANI,Bhatapara,Independent,370

PREMPRAKASH,Bhatapara,Bharat Bhoomi Party,365

None of the Above,Bhatapara,None of the Above,915

PARAS NATH RAJWADE,Bhatgaon,Indian National Congress,74623

RAJNI RAVISHANKAR TRIPATHI,Bhatgaon,Bharatiya Janata Party,58889

RAM ADHEEN POYA,Bhatgaon,Samajwadi Party,10050

SURENDRA CHOUDHARY,Bhatgaon,Janta Congress Chhattisgarh (J),9067

MADHU TIWARI,Bhatgaon,Independent,3967

SURENDRA LAL SINGH NETI,Bhatgaon,Communist Party of India  (Marxist),2673

DILEEP YADAV (KASKELA),Bhatgaon,Independent,1608

LAVKUSH THAKUR,Bhatgaon,Independent,1407

SAHEBAN PRASAD BHAGAT,Bhatgaon,Independent,1228

ALAM SAI SINGH,Bhatgaon,Independent,1005

D. K. SONI,Bhatgaon,Aam Aadmi Party,877

TILESHWAR PRASAD RAJWADE,Bhatgaon,Independent,844

OM PRAKASH SONWANI,Bhatgaon,Independent,807

SITA RAM BHASKAR,Bhatgaon,Independent,803

MOHAN SINGH TEKAM,Bhatgaon,Shiv Sena,734

KUMAIT SANDIL,Bhatgaon,Independent,692

UPENDRA GUPTA,Bhatgaon,Independent,683

RAMLAL RAJWADE,Bhatgaon,Bhartiya Panchyat Party,517

HARIBHAGAT YADAV,Bhatgaon,Independent,472

ANAND RAJWADE,Bhatgaon,Independent,439

None of the Above,Bhatgaon,None of the Above,981

DEVENDRA  YADAV,Bhilai Nagar,Indian National Congress,51044

PREM PRAKASH PANDEY,Bhilai Nagar,Bharatiya Janata Party,48195

DEENANATH JAISWAR,Bhilai Nagar,Bahujan Samaj Party,2662

